,alpha,A,BA,P,R,SP,F1,ROC,MCC,RA,RSE,RSP
106,1.0,0.7631578947368421,0.7553846153846153,0.6333333333333333,0.7307692307692307,0.78,0.7455357142857143,0.7553846153846154,0.49574330754818896,1.0,1.0,1.0
107,1.5,0.8157894736842105,0.8138461538461539,0.7,0.8076923076923077,0.82,0.8020833333333333,0.8138461538461539,0.609226715300184,1.0,1.0,1.0
108,2.0,0.8157894736842105,0.8138461538461539,0.7,0.8076923076923077,0.82,0.8020833333333333,0.8138461538461539,0.609226715300184,1.0,1.0,1.0
109,2.5,0.75,0.7546153846153847,0.6060606060606061,0.7692307692307693,0.74,0.736832513213049,0.7546153846153846,0.48741076357931756,1.0,1.0,1.0
110,3.0,0.8026315789473685,0.8038461538461539,0.6774193548387096,0.8076923076923077,0.8,0.7894736842105263,0.803846153846154,0.5866354604829154,1.0,1.0,1.0
111,3.5,0.8157894736842105,0.8323076923076923,0.6764705882352942,0.8846153846153846,0.78,0.8072463768115943,0.8323076923076923,0.6341295078361107,1.0,1.0,1.0
112,4.0,0.8157894736842105,0.8323076923076923,0.6764705882352942,0.8846153846153846,0.78,0.8072463768115943,0.8323076923076923,0.6341295078361107,1.0,1.0,1.0
113,4.5,0.7894736842105263,0.8123076923076923,0.6388888888888888,0.8846153846153846,0.74,0.782078853046595,0.8123076923076923,0.5934759263977564,1.0,1.0,1.0
114,5.0,0.8026315789473685,0.8038461538461539,0.6774193548387096,0.8076923076923077,0.8,0.7894736842105263,0.803846153846154,0.5866354604829154,1.0,1.0,1.0
115,5.5,0.8026315789473685,0.8315384615384616,0.6486486486486487,0.9230769230769231,0.74,0.7966827180310326,0.8315384615384616,0.6293647633374262,1.0,1.0,1.0
116,6.0,0.8026315789473685,0.8223076923076923,0.6571428571428571,0.8846153846153846,0.76,0.7946315979102865,0.8223076923076923,0.6135449586153359,1.0,1.0,1.0
117,0.0,0.7368421052631579,0.6707692307692308,0.6666666666666666,0.46153846153846156,0.88,0.6801346801346801,0.6707692307692308,0.3811193899422075,0.8421052631578947,0.7857142857142857,1.0
118,0.5,0.7368421052631579,0.6892307692307692,0.6363636363636364,0.5384615384615384,0.84,0.6955128205128205,0.6892307692307692,0.3958997306599194,0.8947368421052632,0.8571428571428571,1.0
119,1.0,0.7368421052631579,0.6984615384615385,0.625,0.5769230769230769,0.82,0.7019607843137254,0.6984615384615386,0.40510791899875637,0.8947368421052632,0.8571428571428571,1.0
120,1.5,0.7368421052631579,0.716923076923077,0.6071428571428571,0.6538461538461539,0.78,0.7127739984882842,0.716923076923077,0.4266854105315057,0.9473684210526315,0.9285714285714286,1.0
121,2.0,0.7631578947368421,0.7276923076923076,0.6666666666666666,0.6153846153846154,0.84,0.7317647058823529,0.7276923076923076,0.4647749768357825,0.8947368421052632,0.8571428571428571,1.0
122,2.5,0.75,0.7084615384615385,0.6521739130434783,0.5769230769230769,0.84,0.7138894392708539,0.7084615384615384,0.4305521453559812,0.9473684210526315,0.9285714285714286,1.0
123,3.0,0.75,0.726923076923077,0.6296296296296297,0.6538461538461539,0.8,0.7247951210215361,0.7269230769230769,0.4498838606904829,0.9473684210526315,0.9285714285714286,1.0
124,3.5,0.7105263157894737,0.6876923076923077,0.5714285714285714,0.6153846153846154,0.76,0.6840513983371126,0.6876923076923077,0.3691887949279695,0.9473684210526315,0.9285714285714286,1.0
125,4.0,0.7763157894736842,0.7469230769230769,0.68,0.6538461538461539,0.84,0.7491749174917491,0.7469230769230768,0.4986642791983564,0.9473684210526315,0.9285714285714286,1.0
126,4.5,0.75,0.7361538461538462,0.6206896551724138,0.6923076923076923,0.78,0.7293345829428304,0.7361538461538462,0.4612631569755697,0.9473684210526315,0.9285714285714286,1.0
127,5.0,0.7368421052631579,0.716923076923077,0.6071428571428571,0.6538461538461539,0.78,0.7127739984882842,0.716923076923077,0.4266854105315057,0.9473684210526315,0.9285714285714286,1.0
128,5.5,0.7236842105263158,0.706923076923077,0.5862068965517241,0.6538461538461539,0.76,0.7008434864104967,0.7069230769230769,0.4041686945486262,0.9473684210526315,0.9285714285714286,1.0
